dep_city,arr_city,number
随州,襄阳,2701
随州,孝感,2685
随州,北京,1204
随州,南阳,1168
长沙,北京,61056
长沙,湘潭,22716
长沙,岳阳,22492
长沙,株洲,22278
长沙,益阳,17368
株洲,长沙,21584
株洲,北京,6962
株洲,湘潭,6391
株洲,广州,4292
株洲,衡阳,3911
湘潭,长沙,24434
湘潭,株洲,6770
湘潭,娄底,3927
湘潭,北京,3648
湘潭,衡阳,2337
衡阳,长沙,13341
衡阳,广州,10037
衡阳,深圳,5332
衡阳,北京,5114
衡阳,郴州,4644
邵阳,长沙,9434
邵阳,娄底,4340
邵阳,怀化,3434
邵阳,深圳,2734
邵阳,黔东南,2271
岳阳,长沙,26360
岳阳,北京,6532
岳阳,广州,4849
岳阳,深圳,3690
岳阳,益阳,3106
常德,长沙,12203
常德,益阳,3846
常德,张家界,3168
常德,怀化,1992
常德,湘西,1990
张家界,长沙,4479
张家界,常德,3452
张家界,湘西,3430
张家界,北京,2924
张家界,上海,1642
益阳,长沙,18903
益阳,常德,4050
益阳,岳阳,2828
益阳,北京,1879
益阳,娄底,1664
娄底,长沙,10169
娄底,邵阳,4082
娄底,湘潭,3426
娄底,北京,2700
娄底,怀化,2098
郴州,长沙,6341
郴州,广州,5890
郴州,衡阳,5208
郴州,深圳,3563
郴州,永州,2833
永州,长沙,4906
永州,衡阳,4040
永州,郴州,2804
永州,桂林,2785
永州,邵阳,2230
怀化,北京,7642
怀化,长沙,5967
怀化,重庆,4745
怀化,安顺,4630
怀化,黔东南,4610
湘西,长沙,3676
湘西,怀化,3511
湘西,张家界,3389
湘西,恩施州,3127
湘西,铜仁,2393
广州,佛山,166091
广州,上海,93699
广州,东莞,77123
广州,深圳,73022
广州,成都,66961
深圳,东莞,157202
深圳,上海,112566
深圳,成都,82911
深圳,惠州,70311
深圳,广州,67585
珠海,中山,42606
珠海,上海,20461
珠海,澳门,17959
珠海,广州,17215
珠海,成都,12390
汕头,揭阳,18890
汕头,潮州,13682
汕头,深圳,8006
汕头,广州,7578
汕头,昆明,6658
佛山,广州,172364
佛山,中山,32649
佛山,肇庆,22108
佛山,江门,18358
佛山,深圳,16783
韶关,广州,16857
韶关,深圳,5769
韶关,清远,5099
韶关,佛山,4070
韶关,东莞,3676
湛江,广州,15272
湛江,茂名,14729
湛江,佛山,6671
湛江,江门,6565
湛江,阳江,5510
肇庆,佛山,22805
肇庆,广州,17485
肇庆,云浮,6928
肇庆,重庆,3963
肇庆,深圳,3771
江门,佛山,20056
江门,广州,18804
江门,中山,17547
江门,珠海,6715
江门,东莞,4715
茂名,湛江,12525
茂名,广州,10487
茂名,阳江,5071
茂名,深圳,4442
茂名,佛山,4046
惠州,深圳,92792
惠州,东莞,55649
惠州,广州,30490
惠州,河源,10839
惠州,成都,6876
梅州,广州,5469
梅州,深圳,5299
梅州,揭阳,3402
梅州,河源,3169
梅州,惠州,2938
汕尾,深圳,9858
汕尾,惠州,5287
汕尾,广州,4569
汕尾,揭阳,3416
汕尾,东莞,2132
河源,深圳,12656
河源,惠州,11827
河源,广州,7402
河源,东莞,6074
河源,赣州,2930
阳江,广州,7053
阳江,茂名,4125
阳江,江门,4072
阳江,佛山,3363
阳江,湛江,2578
清远,广州,38318
清远,佛山,11796
清远,深圳,5697
清远,东莞,5358
清远,韶关,4971
东莞,深圳,159885
东莞,广州,74445
东莞,惠州,44167
东莞,上海,16973
东莞,佛山,16450
中山,珠海,50333
中山,佛山,33123
中山,广州,27984
中山,江门,16300
中山,东莞,8987
潮州,汕头,16563
潮州,揭阳,5434
潮州,广州,3579
潮州,深圳,2973
潮州,成都,2822
揭阳,汕头,19643
揭阳,深圳,7979
揭阳,广州,7265
揭阳,潮州,5528
揭阳,昆明,4490
云浮,广州,7035
云浮,肇庆,6647
云浮,佛山,6639
云浮,东莞,2313
云浮,深圳,2164
南宁,南京,23990
南宁,百色,21959
南宁,杭州,20642
南宁,崇左,18963
南宁,玉林,18457
柳州,南宁,12641
柳州,来宾,11853
柳州,桂林,7701
柳州,河池,6025
柳州,上海,5625
桂林,南宁,11883
桂林,上海,11192
桂林,柳州,7957
桂林,太原,5653
桂林,重庆,5117
梧州,南宁,5006
梧州,广州,3384
梧州,贵港,3064
梧州,佛山,2990
梧州,玉林,2817
北海,南宁,8590
北海,咸阳,7307
北海,西安,6834
北海,钦州,5313
北海,杭州,4512
防城港,南宁,8169
防城港,钦州,4547
防城港,北海,1386
防城港,崇左,1013
防城港,西安,982
钦州,南宁,12169
钦州,北海,4501
钦州,防城港,3930
钦州,玉林,2202
钦州,杭州,1215
贵港,南宁,10570
贵港,玉林,5554
贵港,广州,3698
贵港,佛山,3216
贵港,梧州,2923
玉林,南宁,10369
玉林,贵港,5828
玉林,茂名,3394
玉林,上海,3120
玉林,湛江,2837
百色,南宁,17157
百色,文山,5355
百色,黔西南,4199
百色,河池,3243
百色,宁德,2745
贺州,桂林,4132
贺州,梧州,2868
贺州,南宁,2270
贺州,重庆,2249
贺州,广州,2188
河池,南宁,11283
河池,柳州,5285
河池,百色,2584
河池,黔南,2348
河池,来宾,1249
来宾,柳州,11034
来宾,南宁,5780
来宾,贵港,2204
来宾,桂林,1708
来宾,河池,1162
崇左,南宁,16765
崇左,百色,1853
崇左,合肥,1698
崇左,防城港,1015
崇左,广州,1013
海口,三亚,14608
海口,成都,11925
海口,澄迈县,11455
海口,重庆,10835
海口,武汉,10346
三亚,成都,59636
三亚,重庆,27940
三亚,武汉,18184
三亚,北京,16155
三亚,海口,12574
儋州,海口,5736
儋州,临高县,1325
儋州,三亚,1047
儋州,重庆,924
儋州,白沙,874
五指山,海口,925
五指山,保亭,762
五指山,三亚,679
五指山,乐东,267
五指山,成都,186
文昌,海口,10464
文昌,重庆,1506
文昌,成都,1187
文昌,琼海,1179
文昌,三亚,973
琼海,海口,5893
琼海,三亚,2309
琼海,万宁,1508
琼海,文昌,1183
琼海,定安县,975
万宁,海口,5395
万宁,三亚,2689
万宁,琼海,1828
万宁,陵水,1276
万宁,重庆,1095
东方,海口,2528
东方,三亚,1540
东方,昌江,980
东方,乐东,851
东方,成都,589
定安县,海口,5366
定安县,琼海,909
定安县,屯昌县,570
定安县,澄迈县,431
定安县,三亚,394
屯昌县,海口,2575
屯昌县,琼中,600
屯昌县,定安县,558
屯昌县,成都,412
屯昌县,澄迈县,318
澄迈县,海口,11880
澄迈县,临高县,870
澄迈县,重庆,777
澄迈县,儋州,767
澄迈县,三亚,749
临高县,海口,3937
临高县,儋州,1559
临高县,澄迈县,925
临高县,重庆,433
临高县,安庆,391
琼中,海口,1474
琼中,屯昌县,652
琼中,儋州,462
琼中,武汉,431
琼中,五指山,194
保亭,三亚,2137
保亭,五指山,910
保亭,海口,811
保亭,陵水,611
保亭,重庆,226
白沙,儋州,861
白沙,海口,598
白沙,昌江,378
白沙,三亚,152
白沙,东方,113
昌江,海口,2064
昌江,东方,899
昌江,儋州,808
昌江,三亚,491
昌江,白沙,449
乐东,三亚,4389
