arr_city,dep_city ,number
内江,自贡,6429
内江,重庆,5247
乐山,成都,23891
乐山,眉山,7715
乐山,广州,2302
资阳,成都,31107
资阳,重庆,4825
资阳,内江,4047
南充,成都,18463
南充,重庆,6719
南充,上海,6050
达州,重庆,10701
达州,成都,9423
达州,深圳,3643
雅安,成都,13290
雅安,凉山,2347
雅安,眉山,1260
甘孜,成都,8531
甘孜,雅安,2461
甘孜,凉山,1029
凉山,成都,9992
凉山,昭通,7562
凉山,攀枝花,5445
广安,重庆,14860
广安,成都,5270
广安,南充,4220
巴中,成都,5718
巴中,达州,2568
巴中,南充,2023
眉山,成都,40209
眉山,乐山,7290
眉山,深圳,3628
贵阳,毕节,34764
贵阳,遵义,31368
贵阳,黔南,31047
六盘水,毕节,11101
六盘水,贵阳,8030
六盘水,安顺,4482
遵义,贵阳,20121
遵义,重庆,11601
遵义,上海,10618
铜仁,贵阳,8335
铜仁,遵义,5406
铜仁,重庆,3820
黔西南,贵阳,5491
黔西南,六盘水,4841
黔西南,安顺,4151
毕节,贵阳,21255
毕节,六盘水,9016
毕节,遵义,6005
安顺,贵阳,20108
安顺,杭州,4876
安顺,六盘水,4699
黔东南,贵阳,11678
黔东南,黔南,9291
黔东南,铜仁,3967
黔南,贵阳,30687
黔南,黔东南,8777
黔南,遵义,5843
昆明,曲靖,37284
昆明,武汉,26434
昆明,大理,25447
曲靖,昆明,31162
曲靖,六盘水,4460
曲靖,昭通,3953
玉溪,昆明,20479
玉溪,红河,4852
玉溪,普洱,2168
保山,德宏,6738
保山,昆明,4853
保山,大理,3089
昭通,昆明,8652
昭通,凉山,7193
昭通,宜宾,6837
丽江,大理,11204
丽江,深圳,10951
丽江,广州,7538
普洱,昆明,7725
普洱,西双版纳,5863
普洱,临沧,2352
临沧,昆明,4135
临沧,大理,3832
临沧,普洱,2484
德宏,保山,7085
德宏,昆明,4721
德宏,大理,2219
怒江,大理,2040
怒江,保山,1014
怒江,昆明,982
迪庆,丽江,2941
迪庆,大理,1413
迪庆,昆明,1001
大理,昆明,17741
大理,丽江,8980
大理,深圳,6159
楚雄,昆明,18388
楚雄,大理,4120
楚雄,武汉,1580
红河,昆明,16931
红河,文山,6603
红河,玉溪,5259
文山,红河,5895
文山,昆明,5698
文山,百色,2695
西双版纳,普洱,6892
西双版纳,昆明,6288
西双版纳,长沙,3993
拉萨,重庆,36361
拉萨,成都,30895
拉萨,昆明,6834
昌都,甘孜,4097
昌都,咸阳,4053
昌都,重庆,1823
日喀则,成都,8799
日喀则,拉萨,2566
日喀则,昆明,439
山南,成都,6967
山南,重庆,6667
山南,拉萨,1967
那曲,拉萨,1915
那曲,海西州,664
那曲,成都,384
阿里,山南,767
阿里,日喀则,361
阿里,拉萨,347
林芝,咸阳,6949
林芝,重庆,5280
林芝,拉萨,3812
西安,咸阳,83264
西安,深圳,54389
西安,上海,42423
宝鸡,西安,19289
宝鸡,咸阳,7634
宝鸡,深圳,3230
咸阳,西安,88747
咸阳,深圳,20947
咸阳,上海,13464
渭南,西安,40797
渭南,咸阳,4305
渭南,深圳,3070
铜川,西安,5622
铜川,渭南,1707
铜川,咸阳,1501
延安,西安,14024
延安,榆林,7137
延安,渭南,2541
榆林,鄂尔多斯,10718
榆林,西安,8920
榆林,延安,6621
安康,西安,6795
安康,汉中,2497
安康,十堰,1982
汉中,西安,6906
汉中,成都,3182
汉中,上海,2970
商洛,西安,10930
商洛,南阳,1143
商洛,咸阳,964
兰州,定西,16072
兰州,北京,14569
兰州,南京,13406
嘉峪关,酒泉,5372
嘉峪关,兰州,2745
嘉峪关,西安,1835
金昌,武威,2212
金昌,兰州,2160
金昌,徐州,994
白银,兰州,8981
白银,南京,1516
白银,定西,1385
天水,兰州,6681
天水,陇南,4204
天水,定西,3356
酒泉,兰州,10913
酒泉,西安,6856
酒泉,天水,6620
张掖,兰州,4723
张掖,西安,2870
张掖,酒泉,2439
武威,乌鲁木齐,6075
武威,兰州,5901
武威,酒泉,2329
定西,兰州,9599
定西,临夏,3146
定西,天水,2956
陇南,深圳,4919
陇南,天水,2946
陇南,兰州,2447
平凉,兰州,2233
平凉,西安,2152
平凉,固原,1745
庆阳,上海,3323
庆阳,西安,2283
庆阳,平凉,1697
临夏,兰州,6740
临夏,定西,3218
临夏,甘南,1316
甘南,临夏,2274
甘南,兰州,2253
甘南,陇南,946
西宁,海东,17919
西宁,北京,13803
西宁,长沙,9940
海东,西宁,18569
海东,兰州,2866
海东,北京,2357
海北,西宁,2934
海北,郑州,894
海北,昆明,342
黄南州,海东,1485
黄南州,西宁,1045
黄南州,海南州,408
海南州,西宁,3569
海南州,海西州,537
海南州,海东,408
果洛,西宁,1045
果洛,玉树州,481
果洛,海南州,423
玉树州,西宁,1982
玉树州,海西州,1617
玉树州,兰州,739
海西州,西宁,6955
海西州,兰州,3699
海西州,海东,2198
银川,吴忠,22625
银川,长沙,13728
银川,固原,11973
石嘴山,银川,10456
石嘴山,南京,1553
石嘴山,乌海,1107
吴忠,银川,17016
吴忠,中卫,5313
吴忠,榆林,1924
固原,银川,3748
固原,中卫,2974
固原,平凉,1946
中卫,银川,6693
中卫,吴忠,5235
中卫,固原,2920
乌鲁木齐,喀什,30401
乌鲁木齐,昌吉,23197
乌鲁木齐,张掖,17832
克拉玛依,乌鲁木齐,3118
克拉玛依,塔城,2386
克拉玛依,伊犁,2197
吐鲁番,兰州,8597
吐鲁番,武威,6576
吐鲁番,张掖,6027
哈密,兰州,14974
哈密,武威,9563
哈密,陇南,7289
昌吉,乌鲁木齐,25126
昌吉,石河子,3646
昌吉,张掖,2773
博州,乌鲁木齐,1908
博州,双河,1555
博州,伊犁,947
巴州,金昌,5256
巴州,乌鲁木齐,4931
巴州,阿克苏,4803
阿克苏,乌鲁木齐,6496
阿克苏,巴州,5650
阿克苏,吐鲁番,4440
克州,喀什,3532
克州,乌鲁木齐,2913
克州,阿克苏,728
喀什,乌鲁木齐,23673
喀什,巴州,6081
喀什,阿克苏,5369
和田,乌鲁木齐,14534
和田,巴州,2588
和田,喀什,1882
伊犁,乌鲁木齐,6117
伊犁,可克达拉,3490
伊犁,塔城,3326
塔城,乌鲁木齐,4622
塔城,石河子,4216
塔城,伊犁,3238
阿勒泰,北屯,2533
阿勒泰,乌鲁木齐,1406
阿勒泰,昌吉,492
石河子,乌鲁木齐,6171
石河子,张掖,6064
石河子,昌吉,3865
阿拉尔,阿克苏,5668
阿拉尔,巴州,2348
阿拉尔,乌鲁木齐,2144
图木舒克,喀什,999
图木舒克,乌鲁木齐,677
图木舒克,阿克苏,321
五家渠,乌鲁木齐,4305
五家渠,昌吉,1990
五家渠,张掖,427
香港,上海,35657
香港,深圳,27409
香港,成都,14033
